HTNO,SUBCODE,IM
169Y5A0115,1501604,28
169Y5A0116,1501604,27
169Y5A0117,1501604,28
169Y5A0118,1501604,22
169Y5A0119,1501604,25
169Y5A0120,1501604,24
169Y5A0121,1501604,24
169Y5A0122,1501604,29
169Y5A0123,1501604,16
169Y5A0124,1501604,27
169Y5A0125,1501604,26
169Y5A0126,1501604,26
169Y5A0127,1501604,24
169Y5A0128,1501604,21
169Y5A0129,1501604,26
169Y5A0130,1501604,25
169Y5A0131,1501604,23
169Y5A0132,1501604,21
169Y5A0133,1501604,23
169Y5A0134,1501604,25
169Y5A0135,1501604,26
169Y5A0136,1501604,25
169Y5A0137,1501604,25
169Y5A0138,1501604,23
169Y5A0139,1501604,26
169Y5A0140,1501604,26
169Y5A0141,1501604,21
169Y5A0142,1501604,21
169Y5A0143,1501604,26
169Y5A0144,1501604,23
169Y5A0145,1501604,27
169Y5A0146,1501604,27
169Y5A0147,1501604,20
169Y5A0148,1501604,29
169Y5A0149,1501604,24
169Y5A0150,1501604,23
169Y5A0151,1501604,27
169Y5A0152,1501604,22
169Y5A0153,1501604,19
169Y5A0154,1501604,22
169Y5A0155,1501604,27
169Y5A0156,1501604,26
169Y5A0157,1501604,25
169Y5A0158,1501604,25
169Y5A0159,1501604,26
169Y5A0160,1501604,25
169Y5A0161,1501604,26
169Y5A0162,1501604,25
169Y5A0163,1501604,23
169Y5A0164,1501604,22
169Y5A0165,1501604,22
149Y1A0169,1501605,0
149Y1A0182,1501605,2
149Y1A01C8,1501605,0
149Y1A01D0,1501605,14
149Y1A01D1,1501605,13
159Y1A0101,1501605,29
159Y1A0102,1501605,25
159Y1A0103,1501605,20
159Y1A0104,1501605,16
159Y1A0105,1501605,13
159Y1A0106,1501605,17
159Y1A0108,1501605,20
159Y1A0109,1501605,19
159Y1A0110,1501605,23
159Y1A0111,1501605,19
159Y1A0112,1501605,21
159Y1A0113,1501605,21
159Y1A0114,1501605,29
159Y1A0115,1501605,23
159Y1A0116,1501605,23
159Y1A0117,1501605,23
